aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Tamarack,0,-10,20000,0.0,150.0,600,100,250,False,2200,7350,ok,,1142.0,387,1850,19995,183.33423370539032,136.0,19995,False,0.29705787144274715,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,900,100,250,False,2200,7650,ok,,1137.0,387,1850,20000,182.81997260658017,136.0,20000,False,0.2962246102220204,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,900,100,250,False,2200,7650,ok,,1137.0,387,1850,20000,182.81997260658017,136.0,20000,False,0.2962246102220204,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,900,100,250,False,2200,7650,ok,,1137.0,387,1850,20000,182.81997260658017,136.0,20000,False,0.2962246102220204,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,1200,100,250,False,2200,7950,ok,,1132.0,387,1850,19998,182.2721265776075,135.0,19998,False,0.2953369310801832,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,1200,100,250,False,2200,7950,ok,,1132.0,387,1850,19998,182.2721265776075,135.0,19998,False,0.2953369310801832,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,1200,100,250,False,2200,7950,ok,,1132.0,387,1850,19998,182.2721265776075,135.0,19998,False,0.2953369310801832,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,1500,100,250,False,2200,8250,ok,,1126.0,386,1850,19997,181.69040020469643,135.0,19997,False,0.2943943553560183,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,1500,100,250,False,2200,8250,ok,,1126.0,386,1850,19997,181.69040020469643,135.0,19997,False,0.2943943553560183,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,1500,100,250,False,2200,8250,ok,,1126.0,386,1850,19997,181.69040020469643,135.0,19997,False,0.2943943553560183,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,1800,100,250,False,2200,8550,ok,,1118.0,386,1850,19924,181.05457997492505,134.0,19924,False,0.29328605838832544,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,1800,100,250,False,2200,8550,ok,,1118.0,386,1850,19924,181.05457997492505,134.0,19924,False,0.29328605838832544,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,1800,100,250,False,2200,8550,ok,,1118.0,386,1850,19924,181.05457997492505,134.0,19924,False,0.29328605838832544,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,2100,100,250,False,2100,8750,ok,,1050.0,364,1750,19900,180.39830467923272,134.0,19900,False,0.2921951281208597,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,2100,100,250,False,2100,8750,ok,,1050.0,364,1750,19900,180.39830467923272,134.0,19900,False,0.2921951281208597,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,2100,100,250,False,2100,8750,ok,,1050.0,364,1750,19900,180.39830467923272,134.0,19900,False,0.2921951281208597,False,350
