aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1111.0,190,2500,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,948.0,164,2200,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,787.0,137,1900,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,627.0,111,1600,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1275.0,219,2740,37001,361.3228147222247,193.0,37001,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1255.0,217,2740,37000,361.3228147222247,193.0,37000,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1118.0,194,2500,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,954.0,167,2200,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,791.0,140,1900,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,629.0,113,1600,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1285.0,224,2740,37001,355.587531948856,190.0,37001,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1264.0,221,2740,37000,355.587531948856,190.0,37000,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1126.0,198,2500,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,960.0,170,2200,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,795.0,142,1900,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,632.0,114,1600,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,10,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1297.0,218,2740,37005,378.5286630423306,196.0,37005,True,0.66,False,700
CJ1,Flatwing,0,10,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1281.0,217,2740,37001,377.7827708309145,194.0,37001,True,0.6586994674179282,True,700
CJ1,Flatwing,0,10,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1144.0,195,2500,37003,375.71555941966335,194.0,37003,True,0.6550950916740675,True,700
CJ1,Flatwing,0,10,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,977.0,169,2200,37003,373.50820139915595,193.0,37003,True,0.6512463572563731,True,700
CJ1,Flatwing,0,10,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,142,1900,37003,371.1391984217135,192.0,37003,True,0.6471157797921847,True,700
CJ1,Flatwing,0,10,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,647.0,115,1600,37003,368.5922074317017,191.0,37003,True,0.6426748636409557,True,700
