aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited
CJ1,Flatwing,0,20,35000,0.65,986,100,600,False,2564,ok,,364.42105929857877,71,968,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,1051,100,600,False,2420,ok,,299.19546128548234,61,820,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,1150,100,600,False,2400,ok,,280.4577245023762,58,800,35004,425,35004,False,0.6424986394146459,True
CJ1,Tamarack,0,20,35000,0.65,1261,100,600,False,2210,ok,,212.4675855143278,47,644,35004,337,35004,False,0.5094636270182016,True
CJ1,Tamarack,0,20,35000,0.65,1471,100,600,False,2000,ok,,212.4675855143278,47,644,35004,337,35004,False,0.5094636270182016,True
CJ1,Flatwing,0,-10,35000,0.64,0,100,600,False,3440,ok,,747.2491764991547,133,1861,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,0,100,600,False,3440,ok,,757.7771836596538,135,1859,35009,423,35009,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,164,100,600,False,3386,ok,,718.1644711911887,128,1805,35001,423,35001,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,210,100,600,False,3261,ok,,671.0456163448188,121,1676,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,329,100,600,False,3221,ok,,640.8981908590793,116,1637,35001,423,35001,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,420,100,600,False,3051,ok,,571.123058836041,105,1463,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,493,100,600,False,3057,ok,,564.6590710567979,103,1471,35001,423,35001,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,631,100,600,False,2840,ok,,471.1978316983684,89,1249,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,657,100,600,False,2893,ok,,488.42200599362627,91,1304,35001,423,35001,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,821,100,600,False,2729,ok,,412.1817100179379,79,1137,35001,423,35001,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,841,100,600,False,2630,ok,,372.3046649819522,73,1036,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,986,100,600,False,2564,ok,,336.97375252883575,67,971,35001,423,35001,False,0.6394751164056358,False
CJ1,Tamarack,0,-10,35000,0.64,1051,100,600,False,2420,ok,,273.40858248763976,57,823,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,-10,35000,0.64,1150,100,600,False,2400,ok,,261.7625064054917,54,805,35001,423,35001,False,0.6394751164056358,False
