aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
CJ1,Flatwing,0,-10,41000,0.69,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.69,230,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,230,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.69,460,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,460,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.69,690,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,690,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.69,920,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,920,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.69,1150,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.69,1150,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,230,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,230,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,460,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,460,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,690,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,690,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,920,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,920,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,41000,0.68,1150,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,41000,0.68,1150,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,-10,39000,0.7,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
CJ1,Flatwing,0,0,39000,0.7,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,
